Ticker,Days_Appeared,Dates_Appeared,Max_Dollar_Volume,Avg_Dollar_Volume,Threshold_Used
AXTI,1,2026-02-25,18128998.80,18128998.80,14000000.00
EOG,1,2026-02-27,17923090.49,17923090.49,14000000.00
OKE,1,2026-02-25,17763262.44,17763262.44,14000000.00
TEM,1,2026-02-25,17527213.12,17527213.12,14000000.00
GRAL,1,2026-02-23,17444986.00,17444986.00,14000000.00
MP,1,2026-02-27,16227483.60,16227483.60,14000000.00
LMND,1,2026-02-24,16199981.88,16199981.88,14000000.00
CBRE,1,2026-02-23,15949763.46,15949763.46,14000000.00
NDAQ,1,2026-02-27,15282400.00,15282400.00,14000000.00
ZS,1,2026-02-24,15272599.16,15272599.16,14000000.00
TMDX,1,2026-02-25,15066940.00,15066940.00,14000000.00
DINO,1,2026-02-27,15004583.52,15004583.52,14000000.00
FIGR,1,2026-02-27,14998984.48,14998984.48,14000000.00
SW,1,2026-02-23,14035375.41,14035375.41,14000000.00
